stock_code,stock_name,shares_for_10_bonds,one_lot_party,stage,status,sort_order,allotment_note
688200,华峰测控,181,true,registered,注册批复,1,科创板可一手党
600642,申能股份,2445,true,registered,注册批复,2,可一手党
002913,奥士康,318,false,registered,注册批复,3,
600456,宝钛股份,137,true,registered,注册批复,4,可一手党
300815,玉禾田,266,false,registered,注册批复,5,
688484,南芯科技,270,true,registered,注册批复,6,科创板可一手党
301499,维科精密,220,false,registered,注册批复,7,
603786,科博达,272,true,registered,注册批复,8,可一手党
603339,四方科技,303,true,registered,注册批复,9,可一手党
605589,圣泉集团,339,true,registered,注册批复,10,可一手党
000422,湖北宜化,330,false,registered,注册批复,11,
300453,三鑫医疗,986,false,registered,注册批复,12,
688668,鼎通科技,151,true,registered,注册批复,13,科创板可一手党
